Pharmacie,Adresse_Complete,Telephone,Deja_Contacte,RDV,Action,Distance_Cite_Universitaire_km,Coordonnees,VUE
Pharmacie Andarelli,"Rue de Babylone, 75007 Paris, France",Non renseigné,non,,,3.7800327786048413,"48.8517918, 2.3188642",non
Pharmacie Le Corre,"Rue de la Convention, 75015 Paris, France",Non renseigné,non,,,3.791256882956442,"48.8378457, 2.2947209",non
Pharmacie Desnouettes,"Place Henri Rollet, 75015 Paris, France",Non renseigné,non,,,3.8008388244846314,"48.8360215, 2.2930618",non
Pharmacie Zgorski Annie,"Rue Jacob, 75006 Paris, France",Non renseigné,non,,,3.810038298843291,"48.854802, 2.3362572",non
Pharmacie de Saxe,"Rue Albert de Lapparent, 75007 Paris, France",Non renseigné,non,,,3.8348822894111416,"48.8485448, 2.3086944",non
Pharmacie Saint-Lambert,"Rue Lecourbe, 75015 Paris, France",Non renseigné,non,,,3.858902633251898,"48.8409279, 2.296672",non
Pharmacie De La Porte De Versailles,"Rue de Vaugirard, 75015 Paris, France",Non renseigné,non,,,3.877520526069332,"48.8338833, 2.2904242",non
Pharmacie Faval,"Boulevard Garibaldi, 75015 Paris, France",+33 1 43 06 04 94,non,,,3.8800095958046685,"48.847152, 2.3050056",non
Pharmacie de Varenne,"Rue de Varenne, 75007 Paris, France",Non renseigné,non,,,3.8847050480103977,"48.854037, 2.324019",non
Pharmacie Mesnard,"Avenue de Breteuil, 75007 Paris, France",Non renseigné,non,,,3.8909048957304115,"48.8503908, 2.3115133",non
Pharmacie Nouvelle de Lyon,"Rue Jules César, 75012 Paris, France",Non renseigné,non,,,3.8926272735314957,"48.8488819, 2.3707431",non
Pharmacie de la Place,"14 Place Lachambeaudie, 75012 Paris, France",Non renseigné,non,,,3.9230728211077253,"48.8361512, 2.3875057",non
Pharmacie de la Gare de Lyon,"Boulevard Diderot, 75012 Paris, France",Non renseigné,non,,,3.929713382439266,"48.8460166, 2.3767039",non
Pharmacie Henri IV,"Boulevard Henri IV, 75004 Paris, France",Non renseigné,non,,,3.963093408959097,"48.8520514, 2.3648715",non
Boubert,"Rue Jacob, 75006 Paris, France",+33 1 42 60 27 37,non,,,3.964724557133914,"48.8559914, 2.3328172",non
Pharmacie Bac Grenelle,"Rue du Bac, 75007 Paris, France",Non renseigné,non,,,3.977744292161846,"48.8549878, 2.3244237",non
Pharmacie Villa Croix Nivert,"Villa Croix Nivert, 75015 Paris, France",Non renseigné,non,,,3.995481489441122,"48.845498, 2.3000417",non
Grande Pharmacie du Bac,"Rue du Bac, 75007 Paris, France",Non renseigné,non,,,4.026321901895176,"48.8555547, 2.3250424",non
Pharmacie Place Cambronne,"Place Cambronne, 75015 Paris, France",Non renseigné,non,,,4.056099455405025,"48.8474822, 2.3019418",non
Pharmacie Cambronne - Croix Nivert,"Rue de la Croix Nivert, 75015 Paris, France",Non renseigné,non,,,4.089618632846669,"48.8468677, 2.3002919",non
Pharmacie Visot,"Rue de Charenton, 75012 Paris, France",Non renseigné,non,,,4.095267179116362,"48.8473444, 2.3778677",non
Pharmacie Bellaiche,"Accès Parking Bac-Montalembert, 75007 Paris, France",Non renseigné,non,,,4.0960517290943255,"48.856516, 2.3269654",non
Pharmacie Bénichou,"Avenue de Lowendal, 75015 Paris, France",Non renseigné,non,,,4.096921652867049,"48.8485548, 2.3029374",non
Pharmacie Ledru-Rollin,"Avenue Ledru-Rollin, 75012 Paris, France",Non renseigné,non,,,4.097381297716488,"48.8496158, 2.3739071",non
Pharmacie Diderot,"Place Ady et Gilberte Steg, 75012 Paris, France",Non renseigné,non,,,4.099070094776856,"48.8463393, 2.3794911",non
Pharmacie de la Poste,"Rue du Théâtre, 75015 Paris, France",+33 1 48 28 31 14,non,,,4.113664116637667,"48.8452107, 2.2974384",non
Pharmacie du Marais Saint-Paul,"Rue François Miron, 75004 Paris, France",Non renseigné,non,,,4.121358058827632,"48.855906, 2.3565385",non
Pharmacie Rivoli,"Rue Tiron, 75004 Paris, France",Non renseigné,non,,,4.130021172642689,"48.8556698, 2.3579861",non
Pharmacie Saint-Paul,"Rue Saint-Antoine, 75004 Paris, France",Non renseigné,non,,,4.133758604752676,"48.854295, 2.3632625",non
Pharmacie du Marais,"Passage Charlemagne, 75004 Paris, France",Non renseigné,non,,,4.13375886715692,"48.8550979, 2.3604486",non
Pharmacie Battino-Borgel,"Rue du Petit Musc, 75004 Paris, France",+33 1 42 72 04 75,non,,,4.136199488877319,"48.8535577, 2.3656033",non
Nom inconnu,"Rue Émilio Castelar, 75012 Paris, France",Non renseigné,non,,,4.142416607435176,"48.8489281, 2.3761561",non
Nom inconnu,"Rue de Rivoli, 75004 Paris, France",Non renseigné,non,,,4.1455408243082,"48.8557999, 2.3580633",non
Pharmacie du Viaduc,"Rue de Charenton, 75012 Paris, France",Non renseigné,non,,,4.146542550063037,"48.8447988, 2.3825028",non
Pharmacie de la Mairie,"Avenue Daumesnil, 75012 Paris, France",Non renseigné,non,,,4.176648210998381,"48.841628, 2.3866804",non
Pharmacie des Archives,"Rue des Archives, 75004 Paris, France",+33 1 42784556,non,,,4.201161565203747,"48.8571121, 2.3541574",non
Pharmacie Dichamp,"1 Boulevard de Reuilly, 75012 Paris, France",Non renseigné,non,,,4.20384456649182,"48.8392597, 2.3893476",non
Pharmacie Baruc,"Rue Lecourbe, 75015 Paris, France",Non renseigné,non,,,4.207447527502862,"48.8385021, 2.2887611",non
Pharmacie des Tournelles,"Rue des Tournelles, 75004 Paris, France",Non renseigné,non,,,4.223438324398472,"48.8538727, 2.3672318",non
Pharmacie de la Place,"Rue Érard, 75012 Paris, France",Non renseigné,non,,,4.231058551298408,"48.8449265, 2.383849",non
Pharmacie Convention Croix Nivert,"Rue de la Convention, 75015 Paris, France",Non renseigné,non,,,4.2315472643047185,"48.8403852, 2.290018",non
Pharmacie Dang Trung,"Rue Taine, 75012 Paris, France",Non renseigné,non,,,4.233213209433153,"48.8374325, 2.3912706",non
Nom inconnu,"Rue Desnouettes, 75015 Paris, France",Non renseigné,non,,,4.240190689104549,"48.8352624, 2.2859287",non
Pharmacie Bac-Verneuil,"Rue de Verneuil, 75007 Paris, France",+33 1 42 61 27 62,non,,,4.251541791584109,"48.8581429, 2.3283966",non
Grande Pharmacie du Commerce,"Rue du Commerce, 75015 Paris, France",Non renseigné,non,,,4.258095925590759,"48.8441746, 2.2935563",non
Pharmacie de la Mairie,"Rue de la Verrerie, 75004 Paris, France",Non renseigné,non,,,4.259263949351909,"48.8576477, 2.3541855",non
Pharmacie Homéopathique Ledru-Rollin,"Entrée Parking Faubourg Saint-Antoine, 75012 Paris, France",+33 1 43 47 31 30,non,,,4.264030222346145,"48.8507899, 2.3753227",non
Pharmacie de la Tour,"18 Rue Saint-Martin, 75004 Paris, France",Non renseigné,non,,,4.265705557981979,"48.8583224, 2.3500024",non
Pharmaligre,"Place d'Aligre, 75012 Paris, France",Non renseigné,non,,,4.274421074285162,"48.8491906, 2.3784376",non
Pharmacie Centrale de la Bastille,"Boulevard Beaumarchais, 75004 Paris, France",+33 1 42 72 38 31,non,,,4.291863954517555,"48.8540855, 2.368565",non
Pharmacie Félix Faure,"Rue de Javel, 75015 Paris, France",Non renseigné,non,,,4.296044606800605,"48.8420447, 2.2905797",non
Pharmacie des lions,"11 Boulevard de Reuilly, 75012 Paris, France",Non renseigné,non,,,4.2999442248180975,"48.8393313, 2.3907917",non
Pharmacie Bénad,"Rue Vieille du Temple, 75004 Paris, France",Non renseigné,non,,,4.300469641045164,"48.8573803, 2.3575668",non
Nom inconnu,"84 Rue du Faubourg Saint-Antoine, 75012 Paris, France",Non renseigné,non,,,4.3088508891610084,"48.8514184, 2.3750887",non
Pharmacie Bove,"Rue Las Cases, 75007 Paris, France",Non renseigné,non,,,4.317057190826154,"48.8577488, 2.3222584",non
Grande Pharmacie de Bercy,"Rue de Wattignies, 75012 Paris, France",Non renseigné,non,,,4.319655213950438,"48.8365312, 2.3932203",non
Pharmacie Centrale,"Rue du Commerce, 75015 Paris, France",+33 1 45 79 75 01,non,,,4.3223263500199565,"48.8463953, 2.2952233",non
Pharmacie Solférino,"Rue Saint-Dominique, 75007 Paris, France",Non renseigné,non,,,4.33740375212201,"48.8581195, 2.3231884",non
Pharmacie des Halles,"Boulevard de Sébastopol, 75004 Paris, France",+33 1 42 72 03 23,non,,,4.345533534764981,"48.8591816, 2.3488558",non
Pharmacie Monge,"Rue du Commerce, 75015 Paris, France",Non renseigné,non,,,4.364021346005743,"48.848341, 2.2972236",non
Pharmacie EIFFEL COMMERCE - Paris 15,"Rue du Commerce, 75015 Paris, France",+33145753335,non,,,4.364604046104944,"48.848326, 2.2971896",non
Pharmacie Fréva,"Avenue de la Motte-Picquet, 75015 Paris, France",Non renseigné,non,,,4.372284220990922,"48.8497643, 2.2993321",non
Pharmacie Froux,"88 Boulevard Diderot, 75012 Paris, France",Non renseigné,non,,,4.374720710179164,"48.8468182, 2.3839633",non
Pharmacie Opéra-Bastille,"Boulevard Richard-Lenoir, 75011 Paris, France",+33 1 47 00 49 44,non,,,4.3765142797561145,"48.8543674, 2.3701218",non
Pharmacie Blondin,"Rue Oscar Roty, 75015 Paris, France",Non renseigné,non,,,4.38270334431891,"48.8415387, 2.2886727",non
Pharmacie de Reuilly,"Boulevard de Reuilly, 75012 Paris, France",Non renseigné,non,,,4.394405416387703,"48.8394543, 2.392161",non
Pharmacie du Pont Neuf,"Rue du Pont Neuf, 75001 Paris, France",Non renseigné,non,,,4.397172179038707,"48.8600139, 2.3442832",non
Pharmacie Générale,"Rue de Charonne, 75011 Paris, France",Non renseigné,non,,,4.399364561236704,"48.8526937, 2.3745521",non
Pharmacie de la Semeuse,"Rue du Faubourg Saint-Antoine, 75011 Paris, France",Non renseigné,non,,,4.4000955226924425,"48.8509655, 2.3779483",non
Louvre Rivoli,"Rue de Rivoli, 75001 Paris, France",Non renseigné,non,,,4.409707645642047,"48.8601609, 2.3436021",non
Pharmacie du Village,"Rue du Temple, 75004 Paris, France",Non renseigné,non,,,4.411151327272318,"48.8591061, 2.3538958",non
Pharmacie Bourgogne,"Rue de Grenelle, 75007 Paris, France",Non renseigné,non,,,4.41405236281873,"48.8576298, 2.317667",non
Pharmacie Boucicaut,"Avenue Félix Faure, 75015 Paris, France",Non renseigné,non,,,4.414668634464066,"48.8407805, 2.2874611",non
Pharmacie Meyer Pointsot,"Rue de Turenne, 75003 Paris, France",Non renseigné,non,,,4.430707160571177,"48.8569223, 2.3642921",non
Pharmacie Montgallet,"Rue Riesener, 75012 Paris, France",Non renseigné,non,,,4.434549490705813,"48.8429335, 2.3895933",non
Pharmacie Sebbag-Allouche,"97 Avenue Ledru-Rollin, 75011 Paris, France",Non renseigné,non,,,4.434635026580029,"48.8521689, 2.3764262",non
Pharmacie de l'École Militaire,"Avenue de Tourville, 75007 Paris, France",Non renseigné,non,,,4.44433725996266,"48.8542822, 2.3067078",non
Pharmacie de Suffren,"Avenue de Champaubert, 75015 Paris, France",Non renseigné,non,,,4.463985083504923,"48.8513862, 2.3002551",non
Pharmacie Darmon,"Avenue Émile Zola, 75015 Paris, France",Non renseigné,non,,,4.478194040032124,"48.8467692, 2.2928941",non
Pharmacie du Temple,"43 Rue du Temple, 75004 Paris, France",Non renseigné,non,,,4.481205324840122,"48.8597261, 2.354074",non
Pharmacie d'Orsay,"Rue de Bellechasse, 75007 Paris, France",Non renseigné,non,,,4.494063114863211,"48.8597592, 2.3242049",non
Pharmacie du Square Violet,"Rue des Entrepreneurs, 75015 Paris, France",Non renseigné,non,,,4.507784027031037,"48.8447636, 2.2899499",non
Pharmacie Bonnel,"Avenue de la Motte-Picquet, 75007 Paris, France",Non renseigné,non,,,4.5175620198217565,"48.8554465, 2.3076645",non
Univers Pharmacie,"24 Boulevard de Sébastopol, 75004 Paris, France",+33 1 48 87 62 30,non,,,4.522532121764526,"48.8607, 2.3497286",non
Boucicaut,"Rue Sarasate, 75015 Paris, France",Non renseigné,non,,,4.538232586909977,"48.8418755, 2.2864904",non
Pharmacie Saint-Honoré,"Rue Saint-Honoré, 75001 Paris, France",Non renseigné,non,,,4.545233812815047,"48.8614363, 2.3421459",non
Pharmacie Celnik,"116 Avenue Ledru-Rollin, 75011 Paris, France",+33 1 49 29 74 75,non,,,4.546912521754154,"48.8529881, 2.3773247",non
Pharmacie Steuer,"Rue du Faubourg Saint-Antoine, 75011 Paris, France",Non renseigné,non,,,4.557802535448472,"48.8505616, 2.3818961",non
Pharmacie du Grand Pavois,"Rue Lecourbe, 75015 Paris, France",Non renseigné,non,,,4.560891866324927,"48.8364681, 2.2819452",non
Grande Pharmacie Saint-Charles,"Square Saint-Charles, 75012 Paris, France",Non renseigné,non,,,4.56652430722855,"48.8460415, 2.3883752",non
Pharmacie Belda,"Rue du Chemin Vert, 75011 Paris, France",Non renseigné,non,,,4.566651473028444,"48.8569157, 2.368539",non
Pharmacie Rambuteau,"Rue Rambuteau, 75004 Paris, France",Non renseigné,non,,,4.567393552592429,"48.8600862, 2.3565927",non
Pharmacie du Septième,"Avenue de la Motte-Picquet, 75007 Paris, France",Non renseigné,non,,,4.571725585210707,"48.8560755, 2.3078253",non
Pharmacie Reuilly Diderot,"Rue de Reuilly, 75012 Paris, France",Non renseigné,non,,,4.572695212748304,"48.8471042, 2.3871676",non
Pharmacie Saint-Gilles,"Rue de Turenne, 75003 Paris, France",Non renseigné,non,,,4.583108109542025,"48.8583232, 2.364632",non
Pharmacie du Centre Pompidou,"Rue Beaubourg, 75004 Paris, France",Non renseigné,non,,,4.601096305981845,"48.860925, 2.3534975",non
Grande Pharmacie Daumesnil,"6 Place Félix Éboué, 75012 Paris, France",+33143431903,non,,,4.609265628408341,"48.8391455, 2.3957152",non
Pharmacie Lourmel,"105 Avenue Félix Faure, 75015 Paris, France",+33 1 45 57 45 45,non,,,4.611060800235312,"48.8389201, 2.2828876",non
Pharmacie Centrale Bastille,"26 Boulevard Richard-Lenoir, 75011 Paris, France",+33 1 47 00 05 00,non,,,4.617539227028739,"48.8565002, 2.3711111",non
Pharmacie des Musées,"20 Rue Rambuteau, 75003 Paris, France",Non renseigné,non,,,4.620059388744563,"48.8609131, 2.3546841",non
Pharmacie de Chaligny,"Rue du Faubourg Saint-Antoine, 75012 Paris, France",Non renseigné,non,,,4.624952167037813,"48.8499708, 2.3841427",non
Pharmacie du Louvre,"Rue du Louvre, 75001 Paris, France",Non renseigné,non,,,4.628079251673607,"48.8621947, 2.3416613",non
Pharmacie de l'Assemblée,"Rue Saint-Dominique, 75007 Paris, France",Non renseigné,non,,,4.629509125779542,"48.8598508, 2.3183041",non
Pharmacie du Palais Royal,"Rue Saint-Honoré, 75001 Paris, France",Non renseigné,non,,,4.629644022573221,"48.8622352, 2.3395906",non
Zola Orthopédie,"Avenue Émile Zola, 75015 Paris, France",Non renseigné,non,,,4.633268827133539,"48.8468833, 2.2902804",non
Pharmacie Verte de Reuilly,"Place Félix Éboué, 75012 Paris, France",+33 1 43 43 24 42,non,,,4.6418936177297425,"48.840301, 2.3953091",non
Pharmacie Beaubourg,"Rue Rambuteau, 75003 Paris, France",Non renseigné,non,,,4.658957904525402,"48.8616909, 2.351843",non
Pharmacie 77 Picquet-Grenelle,"Boulevard de Grenelle, 75015 Paris, France",Non renseigné,non,,,4.661162867321835,"48.8503953, 2.2946035",non
Pharmacie de l'Avenue Suffren,"55 Avenue de Suffren, 75007 Paris, France",Non renseigné,non,,,4.6736119003755725,"48.8528662, 2.2984786",non
Pharma Best,"Rue Rambuteau, 75001 Paris, France",+33 1 40 41 91 45,non,,,4.6869398329419445,"48.862445, 2.3470989",non
Pharmacie centrale Roquette,"51 bis Rue de la Roquette, 75011 Paris, France",Non renseigné,non,,,4.702520339006103,"48.8558314, 2.3749424",non
Pharmacie Lamblardie,"Rue Lamblardie, 75012 Paris, France",+33143438797,non,,,4.740119065273042,"48.8400449, 2.3970276",non
Pharmacie Océane Pitoun,"Rue de Lourmel, 75015 Paris, France",Non renseigné,non,,,4.741088343549006,"48.849234, 2.2914045",non
Pharmacie Cotinat,"Rue de Grenelle, 75007 Paris, France",Non renseigné,non,,,4.751445792140522,"48.857814, 2.3074922",non
Pharmacie Balard,"Rue Leblanc, 75015 Paris, France",Non renseigné,non,,,4.772880633712061,"48.8368695, 2.2790628",non
Pharmacie Grenelle T Eiffel,"Rue Humblot, 75015 Paris, France",Non renseigné,non,,,4.777361847467204,"48.8508439, 2.2930393",non
Pharmacie Beaumarchais,"Boulevard Beaumarchais, 75003 Paris, France",Non renseigné,non,,,4.783463628061486,"48.8594971, 2.367318",non
Inter Para,"Rue du Grenier Saint-Lazare, 75003 Paris, France",Non renseigné,non,,,4.786799885819246,"48.8625852, 2.3538494",non
Pharmacie Breton,"Rue Tourneux, 75012 Paris, France",Non renseigné,non,,,4.7901152620408975,"48.8379895, 2.3992701",non
Pharmacie Bosquet Grenelle,"Rue de Grenelle, 75007 Paris, France",Non renseigné,non,,,4.795154361484511,"48.8571424, 2.30461",non
Pharmacie 54 Beaubourg,"Rue Michel le Comte, 75003 Paris, France",Non renseigné,non,,,4.81530625078413,"48.8627476, 2.3545113",non
Pharmacie de la Banque,"Rue Croix des Petits Champs, 75001 Paris, France",Non renseigné,non,,,4.820588328029628,"48.8639497, 2.3401609",non
Pharmacie de la Bourdonnais,"Avenue de la Bourdonnais, 75007 Paris, France",Non renseigné,non,,,4.8228354361695995,"48.8562829, 2.301939",non
Pharmacie du Théâtre Français,"Place André Malraux, 75001 Paris, France",Non renseigné,non,,,4.8346426167761045,"48.864011, 2.335707",non
Les Artisans du Faubourg,"238 Rue du Faubourg Saint-Antoine, 75012 Paris, France",+33 1 43 72 42 79,non,,,4.8374276206609546,"48.8492576, 2.3891263",non
Pharmacie Faidherbe Charonne,"Rue de Charonne, 75011 Paris, France",Non renseigné,non,,,4.840045526395569,"48.8537646, 2.3822311",non
Pharmacie 58,"Avenue du Général Michel Bizot, 75012 Paris, France",Non renseigné,non,,,4.846077520500451,"48.8352037, 2.401774",non
La Grande Pharmacie du XVème,"Rue du Général Estienne, 75015 Paris, France",Non renseigné,non,,,4.85428444505078,"48.8444593, 2.2838616",non
Pharmarket Beaugrenelle,"Avenue Émile Zola, 75015 Paris, France",Non renseigné,non,,,4.864397482752526,"48.8464239, 2.2857557",non
Pharmacie Saint-Eustache,"23 Rue Montorgueil, 75001 Paris, France",Non renseigné,non,,,4.866133900353636,"48.8641153, 2.3464533",non
Pharmacie Charles Michels,"Avenue Émile Zola, 75015 Paris, France",Non renseigné,non,,,4.867915149630437,"48.8468474, 2.2861719",non
Pharmacie Paul Bert,"Rue Paul Bert, 75011 Paris, France",Non renseigné,non,,,4.8701638410677335,"48.8525035, 2.3849901",non
Pharmacie Convention Saint-Charles,"Rue de la Convention, 75015 Paris, France",Non renseigné,non,,,4.875455683147578,"48.8436183, 2.2827088",non
Pharmacie Saint-Charles,"Rue Saint-Charles, 75015 Paris, France",Non renseigné,non,,,4.87803526797865,"48.8443378, 2.2833554",non
Pharmacie Louvre Victoire,"7 Rue Coq Héron, 75001 Paris, France",+33142331150,non,,,4.878069333643856,"48.864427, 2.3423345",non
Grande Pharmacie de Turenne,"Rue de Poitou, 75003 Paris, France",Non renseigné,non,,,4.878925140644661,"48.8612625, 2.3644482",non
Pharmacie de la Comète,"Rue Saint-Dominique, 75007 Paris, France",+33 1 45 51 63 67,non,,,4.890835438863684,"48.8597581, 2.3089643",non
Pharmacie Mirabeau,"Rue des Cévennes, 75015 Paris, France",Non renseigné,non,,,4.893189114531614,"48.8423693, 2.2813032",non
Pharmacie du Théâtre,"Rue du Théâtre, 75015 Paris, France",Non renseigné,non,,,4.899326982453176,"48.8488277, 2.2880032",non
Pharmacie des Écoles,"Rue de Picpus, 75012 Paris, France",Non renseigné,non,,,4.921388658887542,"48.842554, 2.3977804",non
Pharmacie Les Filles du Calvaire,"2 Boulevard des Filles du Calvaire, 75011 Paris, France",+33147008144,non,,,4.925593548881775,"48.8608281, 2.3675773",non
Pharmacie Israël,"Rue de la Roquette, 75011 Paris, France",+33143797854,non,,,4.928498509634341,"48.8569115, 2.3780166",non
Grande Pharmacie de Grenelle,"39 Boulevard de Grenelle, 75015 Paris, France",+33 1 45 79 53 19,non,,,4.932217962071895,"48.8519426, 2.2917149",non
Pharmacie des Pyramides,"Rue Saint-Honoré, 75001 Paris, France",Non renseigné,non,,,4.935041940032005,"48.8647572, 2.3326227",non
Pharmacie de l'Héliport,"Allée des Frères Voisin, 75015 Paris, France",Non renseigné,non,,,4.9362303331433806,"48.8286573, 2.2730915",non
Pharmacie Mutualiste,"29 Rue de Turbigo, 75002 Paris, France",Non renseigné,non,,,4.943378966609609,"48.8644149, 2.3508382",non
Pharmacie du Métro Michel Bizot,"Rue de Picpus, 75012 Paris, France",Non renseigné,non,,,4.944405691796853,"48.836896, 2.4022462",non
Pharmacie de la Poste,"44 Rue Montmartre, 75002 Paris, France",Non renseigné,non,,,4.953332629942981,"48.8649842, 2.3451707",non
Pharmacie Saint Dominique,"Rue Saint-Dominique, 75007 Paris, France",+33 1 47 05 58 54,non,,,4.959292157399647,"48.8595893, 2.3064959",non
Pharmacie 164,"164 Avenue Ledru-Rollin, 75011 Paris, France",Non renseigné,non,,,4.962798425868988,"48.8566193, 2.379442",non
Pharmacie Drai et Souffir,"Rue Louis Braille, 75012 Paris, France",Non renseigné,non,,,4.971321871759096,"48.8398366, 2.4007072",non
Pharmacie de Bretagne,"Rue de Saintonge, 75003 Paris, France",+33142784331,non,,,4.985182388971865,"48.8625296, 2.3635149",non
Pharmacie du Marché Montorgueil,"51 Rue Montorgueil, 75002 Paris, France",Non renseigné,non,,,4.985377004901262,"48.8651691, 2.3468025",non
Parapharmacie Eiffel Para,"Avenue de Suffren, 75015 Paris, France",Non renseigné,non,,,5.000742950994872,"48.8547824, 2.2949979",non
Pharmacie Parisienne,"Rue Saint-Dominique, 75007 Paris, France",Non renseigné,non,,,5.00078536097736,"48.8589842, 2.3037923",non
Pharmacie du Temple,"Rue du Temple, 75003 Paris, France",Non renseigné,non,,,5.002153324339066,"48.8637905, 2.3585155",non
Pharmacie Chevreul,"305 Rue du Faubourg Saint-Antoine, 75011 Paris, France",+33 1 40 61 95 44,non,,,5.0066663188923455,"48.8490702, 2.3923943",non
Pharmacie Charret,"Rue de Beauce, 75003 Paris, France",Non renseigné,non,,,5.009957375678498,"48.8632446, 2.3614945",non
Pharmacie Péron,"Rue Saint-Dominique, 75007 Paris, France",Non renseigné,non,,,5.019185462774503,"48.8583642, 2.3018327",non
Pharmacie du Champs de Mars,"Rue Saint-Dominique, 75007 Paris, France",Non renseigné,non,,,5.026903471506152,"48.8579304, 2.3006577",non
Pharmacie Centrale du XIe,"Rue de la Roquette, 75011 Paris, France",Non renseigné,non,,,5.047506217619757,"48.8575297, 2.3795048",non
Pharmacie Voltaire-Charonne,"180 Boulevard Voltaire, 75011 Paris, France",Non renseigné,non,,,5.0495797404754725,"48.8548396, 2.3847227",non
Grande Pharmacie Popincourt,"Rue Popincourt, 75011 Paris, France",Non renseigné,non,,,5.051219674627034,"48.8591105, 2.376008",non
Pharmacie 257,"257 Avenue Daumesnil, 75012 Paris, France",+33 1 43 43 53 10,non,,,5.051306268821134,"48.8367822, 2.4038793",non
Pharmacie Benhamou,"2 Place de la Nation, 75012 Paris, France",Non renseigné,non,,,5.057484335327485,"48.8483622, 2.3941331",non
Aprium Pharmacie Montorgueil,"67 Rue Montorgueil, 75002 Paris, France",Non renseigné,non,,,5.072155021204227,"48.8659432, 2.3469549",non
Pharmacie Fabre d'Églantine,"Place de la Nation, 75012 Paris, France",Non renseigné,non,,,5.086762292834038,"48.8472188, 2.3959207",non
Pharmacie Voltaire Nation,"264 Boulevard Voltaire, 75011 Paris, France",+33 1 43 73 51 73,non,,,5.091221525315454,"48.8500297, 2.392688",non
Pharmacie des Arts et Métiers,"98 Rue Beaubourg, 75003 Paris, France",+33148879835,non,,,5.091721072442103,"48.8651032, 2.3557846",non
ApriumPharmacie Voltaire-Dumas,"Rue Alexandre Dumas, 75011 Paris, France",Non renseigné,non,,,5.098248932145291,"48.8528943, 2.3888471",non
Pharmacie des Cévennes,"Rue Balard, 75015 Paris, France",Non renseigné,non,,,5.100855118720764,"48.8421144, 2.2778529",non
Pharmacie Saint-Honoré,"Rue du Marché Saint-Honoré, 75001 Paris, France",Non renseigné,non,,,5.103630614218956,"48.8661759, 2.3311515",non
Pharmacie des Petits Champs,"21 Rue des Petits Champs, 75001 Paris, France",Non renseigné,non,,,5.104299489003866,"48.8664904, 2.337698",non
Grande Pharmacie Voltaire,"113 Boulevard Voltaire, 75011 Paris, France",Non renseigné,non,,,5.1084071471615795,"48.857458, 2.3810663",non
Pharmacie Canonne Réaumur,"90 Boulevard de Sébastopol, 75003 Paris, France",Non renseigné,non,,,5.122588900823701,"48.8658467, 2.3525632",non
Grande pharmacie de Charonne,"Rue de Charonne, 75011 Paris, France",Non renseigné,non,,,5.140825782418317,"48.8550055, 2.3863197",non
Pharmacie Michon,"Rue du Théâtre, 75015 Paris, France",Non renseigné,non,,,5.148721843756632,"48.8501938, 2.2852966",non
Pharmacie Moderne du Sentier,"7 Rue des Petits Carreaux, 75002 Paris, France",+33 1 45 08 53 16,non,,,5.159908623726,"48.8667273, 2.347091",non
Victoire Opéra,"Rue des Petits Champs, 75002 Paris, France",Non renseigné,non,,,5.160984314710905,"48.8669671, 2.3362355",non
Pharmacie du front de seine,"Rue Robert de Flers, 75015 Paris, France",Non renseigné,non,,,5.163996573174672,"48.8504248, 2.2853175",non
Pharmacie de la Porte Dorée,"Boulevard Poniatowski, 75012 Paris, France",Non renseigné,non,,,5.1717764583954065,"48.8349908, 2.4065836",non
Pharmacie des deux boulevards,"Boulevard Richard-Lenoir, 75011 Paris, France",Non renseigné,non,,,5.176857812089654,"48.8615812, 2.3729669",non
Pharmacie Brisebarre,"Rue Edmond Valentin, 75007 Paris, France",+33 1 47 05 41 25,non,,,5.177037835833384,"48.8597553, 2.3011269",non
Pharmacie du Cirque d'Hiver,"Rue de Crussol, 75011 Paris, France",Non renseigné,non,,,5.18876551956062,"48.863653, 2.3667474",non
Pharmacie de Bir-Hakeim,"Boulevard de Grenelle, 75015 Paris, France",Non renseigné,non,,,5.206323105968917,"48.853708, 2.2890997",non
Pharmacie Bleue,"Boulevard Voltaire, 75011 Paris, France",Non renseigné,non,,,5.215144267516989,"48.8615019, 2.3742714",non
Pharmacie du Temple,"Boulevard du Temple, 75003 Paris, France",Non renseigné,non,,,5.217203545320105,"48.8641856, 2.3657934",non
Apotek,"Rue de Cléry, 75002 Paris, France",Non renseigné,non,,,5.232036765161782,"48.8675096, 2.3449745",non
Pharmacie Paris-Charonne,"Rue de Charonne, 75011 Paris, France",Non renseigné,non,,,5.246074258448877,"48.8551858, 2.3881529",non
Pharmacie des Écoles,"Rue de la Roquette, 75011 Paris, France",Non renseigné,non,,,5.246500526700386,"48.8581689, 2.3827698",non
Pharmacie Wizman,"Rue Oberkampf, 75011 Paris, France",+33147005161,non,,,5.261916254830049,"48.8635016, 2.3697425",non
Pharmacie Opéra Casanova,"Rue Danielle Casanova, 75002 Paris, France",Non renseigné,non,,,5.263453213686951,"48.8677467, 2.3329845",non
Pharmacie du Carreau du Temple,"Rue du Temple, 75003 Paris, France",Non renseigné,non,,,5.265049279769074,"48.8658405, 2.3606343",non
Pharmacie Pedron,"70 Rue Léon Frot, 75011 Paris, France",+33 1 43 79 39 58,non,,,5.265147850200275,"48.8570258, 2.3853646",non
Pharmacie Valet,"Boulevard de Picpus, 75012 Paris, France",Non renseigné,non,,,5.265928194332524,"48.8468405, 2.3992911",non
